2,5
3,7
4,9
5,11
6,13
7,15
8,17
9,19
10,21
11,23
12,25
13,27
14,29
15,31
16,33
17,35
18,37
19,39
20,41
21,43
22,45
23,47
24,49
25,51
26,53
27,55
28,57
29,59
30,61
31,63
32,65
33,67
34,69
35,71
36,73
2,3
3,3
4,3
5,3
6,5
7,5
8,5
9,5
10,5
11,7
12,7
13,7
14,7
15,7
16,9
17,9
18,9
19,9
20,9
21,11
22,11
23,11
24,11
25,11
26,13
27,13
28,13
29,13
30,13
31,15
32,15
33,15
34,15
35,15
36,17
2,3
3,3
4,3
5,3
6,5
7,5
8,5
9,5
10,5
11,7
12,7
13,7
14,7
15,7
16,9
17,9
18,9
19,9
20,9
21,11
22,11
23,11
24,11
25,11
26,13
27,13
28,13
29,13
30,13
31,15
32,15
33,15
34,15
35,15
36,17
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,7
32,7
33,7
34,7
35,7
36,7
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
