2,9
3,13
4,17
5,21
6,25
7,29
8,33
9,37
10,41
11,45
12,49
13,53
14,57
15,61
16,65
17,69
18,73
19,77
20,81
21,85
22,89
23,93
24,97
25,101
26,105
27,109
28,113
29,117
30,121
31,125
32,129
33,133
34,137
35,141
36,145
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,13
22,13
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,17
32,17
33,17
34,17
35,17
36,17
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,13
32,13
33,13
34,13
35,13
36,13
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,13
32,13
33,13
34,13
35,13
36,13
